ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
53,NBC-arch1-53,NBC-arch1,SAINTJOHNS,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
54,NBC-arch1-54,NBC-arch1,STEPHENVILLE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
55,NBC-arch1-55,NBC-arch1,WABUSHLAKE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
56,NBC-arch1-56,NBC-arch1,FORTSMITH,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
57,NBC-arch1-57,NBC-arch1,Inuvik,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
58,NBC-arch1-58,NBC-arch1,NORMANWELLS,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
59,NBC-arch1-59,NBC-arch1,Yellowknife,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
60,NBC-arch1-60,NBC-arch1,GREENWOOD,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
61,NBC-arch1-61,NBC-arch1,Halifax,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
62,NBC-arch1-62,NBC-arch1,SYDNEY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
63,NBC-arch1-63,NBC-arch1,TRURO,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
64,NBC-arch1-64,NBC-arch1,YARMOUTH,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
65,NBC-arch1-65,NBC-arch1,BAKERLAKE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
66,NBC-arch1-66,NBC-arch1,CORALHARBOUR,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
67,NBC-arch1-67,NBC-arch1,HALLBEACH,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
68,NBC-arch1-68,NBC-arch1,IQALUIT,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
69,NBC-arch1-69,NBC-arch1,RESOLUTE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
70,NBC-arch1-70,NBC-arch1,BIGTROUTLAKE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
71,NBC-arch1-71,NBC-arch1,GOREBAY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
72,NBC-arch1-72,NBC-arch1,KAPUSKASING,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
73,NBC-arch1-73,NBC-arch1,KENORA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
74,NBC-arch1-74,NBC-arch1,KINGSTON,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
75,NBC-arch1-75,NBC-arch1,LONDON,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
76,NBC-arch1-76,NBC-arch1,MUSKOKA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
77,NBC-arch1-77,NBC-arch1,NORTHBAY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
78,NBC-arch1-78,NBC-arch1,Ottawa,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
79,NBC-arch1-79,NBC-arch1,SAULTSTEMARIE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
80,NBC-arch1-80,NBC-arch1,SIMCOE,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
81,NBC-arch1-81,NBC-arch1,SIOUXLOOKOUT,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
82,NBC-arch1-82,NBC-arch1,SUDBURY,NA,NA,NA,NA,NA,NA,NA,none,NA,NA
