ID,Scenario,Archetype,GOtag:Opt-Location,GOtag:Opt-ACH,GOtag:Opt-GenericWall_1Layer_definitions,GOtag:Opt-H2KFoundation,GOtag:Opt-ExposedFloor,GOtag:Opt-Ceilings,GOtag:Opt-CasementWindows,GOtag:Opt-DHWSystem,GOtag:Opt-DWHRSystem,GOtag:Opt-HVACSystem,GOtag:Opt-HRVSpec
129,RR-SmallSFD-129,SmallSFD,Vancouver,ACH_2_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R11_under,NA,CeilR50,LG-avg-Triple,HPHotWater,DWHR-eff-55,CCASHP-ecm,HRV_70
130,RR-SmallSFD-130,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R25FDN_R30_under,NA,CeilR100,HG-avg-Triple,HPHotWater,none,basefurnace,HRV_70
131,RR-SmallSFD-131,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_EPS_R-40,STEP_R25FDN_R30_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,DWHR-eff-55,gas-furnace-ecm,NA
132,RR-SmallSFD-132,SmallSFD,Vancouver,ACH_1_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R20_under,NA,CeilR40,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,NA
133,RR-SmallSFD-133,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R20_under,NA,CeilR50,HG-avg-Triple,HPHotWater,none,CCASHP-ecm,HRV_75
134,RR-SmallSFD-134,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R30_under,NA,CeilR100,HG-avg-Triple,HPHotWater,DWHR-eff-30,CCASHP-ecm,NA
135,RR-SmallSFD-135,SmallSFD,Vancouver,ACH_0_6,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R20_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,DWHR-eff-55,basefurnace,HRV_75
136,RR-SmallSFD-136,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_EPS_R-40,STEP_R25FDN_R20_under,NA,CeilR40,HG-i89-Triple-B,HPHotWater,DWHR-eff-55,basefurnace,HRV_84
137,RR-SmallSFD-137,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_R18,STEP_R25FDN_R20_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,HRV_70
138,RR-SmallSFD-138,SmallSFD,Vancouver,ACH_1_0,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R20_under,NA,CeilR50,MG-HP-Double,HPHotWater,DWHR-eff-42,CCASHP-ecm,HRV_84
139,RR-SmallSFD-139,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R20FDN_R11_under,NA,CeilR100,LG-avg-Double,HPHotWater,none,CCASHP-ecm,HRV_84
140,RR-SmallSFD-140,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_BaseFDN_R11_under,NA,CeilR40,HG-i89-Triple-B,HPHotWater,DWHR-eff-30,CCASHP-ecm,NA
141,RR-SmallSFD-141,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R25FDN_R30_under,NA,CeilR40,HG-i89-Triple-B,HPHotWater,DWHR-eff-55,basefurnace,HRV_70
142,RR-SmallSFD-142,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_EPS_R-40,STEP_R16FDN_R20_under,NA,CeilR100,LG-avg-Double,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_60
143,RR-SmallSFD-143,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_XPS_R-30,STEP_R25FDN_R20_under,NA,CeilR40,MG-HP-Double,HPHotWater,DWHR-eff-55,CCASHP-ecm,HRV_60
144,RR-SmallSFD-144,SmallSFD,Vancouver,ACH_3_5,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R11_under,NA,CeilR100,HG-avg-Triple,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_84
145,RR-SmallSFD-145,SmallSFD,Vancouver,ACH_1_5,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R30_under,NA,CeilR60,HG-i89-Triple-B,HPHotWater,DWHR-eff-42,CCASHP-ecm,NA
146,RR-SmallSFD-146,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_XPS_R-22,STEP_R25FDN_R20_under,NA,CeilR50,HG-HP-Triple,HPHotWater,DWHR-eff-55,CCASHP-ecm,NA
147,RR-SmallSFD-147,SmallSFD,Vancouver,ACH_1_5,Stud_2x6_R18,STEP_R25FDN_R20_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,HRV_84
148,RR-SmallSFD-148,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR100,HG-avg-Triple,HPHotWater,DWHR-eff-30,basefurnace,HRV_70
149,RR-SmallSFD-149,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_R18,STEP_R25FDN_R20_under,NA,CeilR50,HG-avg-Triple,HPHotWater,DWHR-eff-55,CCASHP-ecm,HRV_60
150,RR-SmallSFD-150,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR60,HG-i89-Triple-B,HPHotWater,DWHR-eff-30,basefurnace,HRV_70
151,RR-SmallSFD-151,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_BaseFDN_R11_under,NA,CeilR40,HG-i89-Triple-B,HPHotWater,DWHR-eff-55,CCASHP-ecm,HRV_60
152,RR-SmallSFD-152,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR100,HG-i89-Triple-B,HPHotWater,none,basefurnace,HRV_60
153,RR-SmallSFD-153,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R30_under,NA,CeilR80,MG-i89-Double,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_60
154,RR-SmallSFD-154,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R20_under,NA,CeilR60,MG-i89-Double,HPHotWater,DWHR-eff-42,CCASHP-ecm,HRV_60
155,RR-SmallSFD-155,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_R18,STEP_R25FDN_R20_under,NA,CeilR60,HG-i89-Triple-B,HPHotWater,none,CCASHP-ecm,HRV_84
156,RR-SmallSFD-156,SmallSFD,Vancouver,ACH_3_5,Stud_2x6_EPS_R-40,STEP_R25FDN_R20_under,NA,CeilR40,HG-avg-Triple,HPHotWater,DWHR-eff-55,CCASHP-ecm,NA
157,RR-SmallSFD-157,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_XPS_R-22,STEP_BaseFDN_R30_under,NA,CeilR100,HG-avg-Triple,HPHotWater,none,CCASHP-ecm,HRV_75
158,RR-SmallSFD-158,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_EPS_R-40,STEP_R25FDN_R11_under,NA,CeilR50,LG-avg-Double,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_75
159,RR-SmallSFD-159,SmallSFD,Vancouver,ACH_1_0,Stud_2x6_EPS_R-40,STEP_BaseFDN_R20_under,NA,CeilR80,LG-avg-Double,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_75
160,RR-SmallSFD-160,SmallSFD,Vancouver,ACH_3_5,Stud_2x4_2in_XPS_R-24,STEP_R25FDN_R30_under,NA,CeilR60,HG-HP-Triple,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_70
161,RR-SmallSFD-161,SmallSFD,Vancouver,ACH_0_6,Stud_2x6_EPS_R-40,STEP_R25FDN_R30_under,NA,CeilR100,MG-HP-Double,HPHotWater,DWHR-eff-55,basefurnace,HRV_70
162,RR-SmallSFD-162,SmallSFD,Vancouver,ACH_0_6,Stud_2x4_2in_XPS_R-24,STEP_BaseFDN_R11_under,NA,CeilR50,HG-avg-Triple,HPHotWater,DWHR-eff-30,CCASHP-ecm,HRV_60
163,RR-SmallSFD-163,SmallSFD,Vancouver,ACH_1_5,Stud_2x6_EPS_R-40,STEP_R16FDN_R11_under,NA,CeilR100,HG-avg-Triple,HPHotWater,DWHR-eff-30,basefurnace,HRV_84
