Scenario,ID,Opt-ACH,Opt-GenericWall_1Layer_definitions,Opt-H2KFoundation,Opt-ExposedFloor,Opt-Ceilings,Opt-CasementWindows,Opt-DHWSystem,Opt-DWHRSystem,Opt-HVACSystem,Opt-HRVSpec,Opt-H2K-PV
Rerun,4669, ACH_0_6, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA, CeilR100,LG-avg-Double, GasInstantaneous, DWHR-eff-55,gas-furnace-ecm,NA, MonoSi-5kW
Rerun,4670,ACH_3_5, Stud_2x6_R18, STEP_R25FDN_R20_under,NA, CeilR50, MG-i89-Double, GasInst_Low,  DWHR-eff-42,gas-furnace-ecm, HRV_60, MonoSi-5kW
Rerun,4671, ACH_2_5, Stud_2x6_XPS_R-30, STEP_R25FDN_R0_under,NA, CeilR50, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA,NA
Rerun,4672, ACH_1_0, Stud_2x6_EPS_R-40, STEP_BaseFDN_R11_under,NA, CeilR100, HG-i89-Triple-B, GasInstantaneous,  DWHR-eff-42, CCASHP-ecm, HRV_70,NA
Rerun,4673, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R11_under,NA,CeilR40,LG-avg-Double,BaseDHW,  DWHR-eff-42,basefurnace,NA, MonoSi-10kW
Rerun,4674, ACH_1_0, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA, CeilR70,LG-avg-Double, HPHotWater, DWHR-eff-30,basefurnace,NA, MonoSi-5kW
Rerun,4675, ACH_2_5,Stud_2x6_R16, STEP_R20FDN_R0_under,NA, CeilR70, MG-i89-Double,BaseDHW,none,basefurnace, HRV_60, MonoSi-10kW
Rerun,4676, ACH_1_0,Stud_2x6_R16, STEP_R25FDN_R0_under,NA,CeilR40,LG-avg-Double, GasInst_Low,  DWHR-eff-42,basefurnace, HRV_84, MonoSi-5kW
Rerun,4677,ACH_3_5, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR60,LG-avg-Double, ElectricStorage,none,basefurnace, HRV_75, MonoSi-5kW
Rerun,4678, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, ComboHeatA, HRV_75,NA
Rerun,4679, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R20_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm,NA,NA
Rerun,4680, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R0_under,NA, CeilR100, HG-avg-Triple, HPHotWater,  DWHR-eff-42,basefurnace, HRV_84,NA
Rerun,4681,ACH_3_5, Stud_2x6_XPS_R-22, STEP_R25FDN_R0_under,NA, CeilR70,LG-avg-Double,BaseDHW, DWHR-eff-30,gas-furnace-ecm, HRV_60, MonoSi-8kW
