Scenario,ID,Opt-ACH,Opt-GenericWall_1Layer_definitions,Opt-H2KFoundation,Opt-ExposedFloor,Opt-Ceilings,Opt-CasementWindows,Opt-DHWSystem,Opt-DWHRSystem,Opt-HVACSystem,Opt-HRVSpec,Opt-H2K-PV
Rerun,1,ACH_3_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR70, MG-HP-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,2, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R25FDN_R11_under,NA, CeilR100, MG-i89-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,3, ACH_1_5, Stud_2x6_R18, STEP_R25FDN_R20_under,NA, CeilR100, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,4,ACH_3_5, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,5, ACH_1_5,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR70, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,6, ACH_0_6, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA,CeilR40,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,7, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R11_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,8, ACH_0_6, Stud_2x6_R18, STEP_R16FDN_R0_under,NA, CeilR50, HG-i89-Triple-B, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA, MonoSi-10kW
Rerun,9, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R20_under,NA,CeilR40, MG-i89-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm,NA, MonoSi-10kW
Rerun,10,ACH_3_5, Stud_2x6_EPS_R-40, STEP_BaseFDN_R20_under,NA, CeilR70, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,11, ACH_1_0, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR70,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,12, ACH_1_0, Stud_2x6_XPS_R-22, STEP_R16FDN_R0_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,13, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R20FDN_R15_under,NA, CeilR80,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,14, ACH_2_5, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA,CeilR40, HG-avg-Triple, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,15,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R20_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,16, ACH_0_6, Stud_2x6_XPS_R-22, STEP_R20FDN_R20_under,NA, CeilR70,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,17, ACH_0_6, Stud_2x6_EPS_R-40, STEP_BaseFDN_R20_under,NA, CeilR80, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,18, ACH_1_0, Stud_2x6_XPS_R-22, STEP_R25FDN_R0_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,19, ACH_0_6, Stud_2x6_EPS_R-40, STEP_BaseFDN_R20_under,NA, CeilR80, HG-i89-Triple-B, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,20, ACH_1_5, Stud_2x6_R18, STEP_R25FDN_R0_under,NA,CeilR40, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,21, ACH_0_6, Stud_2x6_R18, STEP_R25FDN_R0_under,NA, CeilR50, HG-avg-Triple, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,22, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R0_under,NA, CeilR100,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,23, ACH_0_6,Stud_2x6_R16, STEP_R16FDN_R0_under,NA, CeilR50, HG-avg-Triple, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,24, ACH_0_6, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR60,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,25, ACH_1_0, Stud_2x6_R18, STEP_BaseFDN_R20_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,26, ACH_2_5, Stud_2x4_2in_XPS_R-24, STEP_R20FDN_R0_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,27, ACH_0_6, Stud_2x6_XPS_R-30, STEP_R16FDN_R0_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,28, ACH_1_0, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R11_under,NA,CeilR40, HG-avg-Triple, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,29, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R15_under,NA, CeilR80,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,30, ACH_1_0, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR60, MG-i89-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm,NA, MonoSi-10kW
Rerun,31, ACH_1_0,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR100, HG-avg-Triple, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,32, ACH_0_6, Stud_2x6_XPS_R-30, STEP_R25FDN_R20_under,NA, CeilR100,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,33, ACH_0_6,Stud_2x6_R16, STEP_BaseFDN_R20_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,34, ACH_1_5, Stud_2x6_EPS_R-40, STEP_R16FDN_R20_under,NA,CeilR40, HG-avg-Triple, HPHotWater,  DWHR-eff-42, CCASHP-ecm,NA, MonoSi-10kW
Rerun,35, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R11_under,NA, CeilR50, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,36, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R11_under,NA, CeilR60, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,37, ACH_1_5, Stud_2x6_XPS_R-30,STEP_BaseFDN_R0_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,38, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R0_under,NA, CeilR100,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,39, ACH_1_0, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA, CeilR100, HG-avg-Triple, HPHotWater, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,40, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R20FDN_R15_under,NA, CeilR50, HG-avg-Triple, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,41, ACH_1_0, Stud_2x6_R18, STEP_R25FDN_R20_under,NA, CeilR50, HG-avg-Triple, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,42, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R16FDN_R0_under,NA, CeilR80, HG-avg-Triple, ElectricStorage, DWHR-eff-55, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,43, ACH_1_0, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,44, ACH_0_6, Stud_2x6_XPS_R-30, STEP_R25FDN_R11_under,NA, CeilR60, HG-HP-Triple, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,45, ACH_0_6, Stud_2x6_XPS_R-22, STEP_R25FDN_R11_under,NA, CeilR50, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,46, ACH_0_6,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,47, ACH_0_6,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA, CeilR60, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,48,ACH_3_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R15_under,NA,CeilR40, MG-HP-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,49, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R0_under,NA, CeilR50, MG-i89-Double, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,50, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R11_under,NA, CeilR50, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA, MonoSi-10kW
Rerun,51, ACH_2_5, Stud_2x6_XPS_R-22, STEP_R25FDN_R0_under,NA, CeilR70, MG-HP-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,52, ACH_0_6, Stud_2x6_R18, STEP_R25FDN_R11_under,NA,CeilR40, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA, MonoSi-10kW
Rerun,53,ACH_3_5, Stud_2x6_EPS_R-40, STEP_BaseFDN_R15_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater,  DWHR-eff-42, CCASHP-ecm,NA, MonoSi-10kW
Rerun,54, ACH_1_0, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R0_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,55, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R11_under,NA,CeilR40, MG-HP-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,56, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R15_under,NA, CeilR80,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,57, ACH_2_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR70,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,58, ACH_0_6, Stud_2x6_XPS_R-30, STEP_R16FDN_R20_under,NA, CeilR80,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,59, ACH_0_6, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR60,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,60, ACH_2_5, Stud_2x6_XPS_R-22, STEP_R20FDN_R15_under,NA, CeilR100, MG-i89-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,61, ACH_1_5, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R11_under,NA,CeilR40, LG-avg-Triple, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,62, ACH_1_0,Stud_2x6_R16, STEP_R25FDN_R11_under,NA, CeilR60, MG-i89-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,63,ACH_3_5, Stud_2x6_R18, STEP_R20FDN_R20_under,NA, CeilR100, HG-HP-Triple, HPHotWater,none, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,64, ACH_0_6, Stud_2x6_XPS_R-30,STEP_BaseFDN_R0_under,NA, CeilR70,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,65, ACH_0_6, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR80, HG-avg-Triple, ElectricStorage,  DWHR-eff-42, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,66,ACH_3_5,Stud_2x6_R16, STEP_R16FDN_R11_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,67, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R20_under,NA, CeilR70, HG-i89-Triple-B, ElectricStorage,  DWHR-eff-42, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,68, ACH_1_5, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R0_under,NA,CeilR40,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,69,ACH_3_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R20_under,NA, CeilR50,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,70, ACH_2_5,Stud_2x6_R16, STEP_BaseFDN_R15_under,NA, CeilR70, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,71, ACH_1_5, Stud_2x6_R18, STEP_R25FDN_R0_under,NA, CeilR70, MG-i89-Double, HPHotWater,none, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,72, ACH_0_6,Stud_2x6_R16, STEP_R20FDN_R0_under,NA, CeilR50, MG-i89-Double, HPHotWater,none, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,73, ACH_1_5,Stud_2x6_R16, STEP_R16FDN_R20_under,NA,CeilR40, MG-HP-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,74, ACH_0_6, Stud_2x6_R18, STEP_R20FDN_R20_under,NA, CeilR70,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,75, ACH_1_5,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR100, MG-i89-Double, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,76, ACH_2_5, Stud_2x6_EPS_R-40, STEP_R25FDN_R15_under,NA, CeilR70, HG-i89-Triple-B, ElectricStorage,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,77, ACH_1_0,Stud_2x6_R16, STEP_R16FDN_R0_under,NA, CeilR50, MG-i89-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,78, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR60,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,79,ACH_3_5,Stud_2x6_R16,STEP_BaseFDN_R0_under,NA, CeilR50, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,80, ACH_0_6,Stud_2x6_R16, STEP_R20FDN_R20_under,NA, CeilR60,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,81, ACH_1_5, Stud_2x6_XPS_R-22, STEP_BaseFDN_R20_under,NA, CeilR70,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,82, ACH_1_0, Stud_2x6_R18, STEP_R16FDN_R20_under,NA, CeilR80,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,83,ACH_3_5, Stud_2x6_XPS_R-30, STEP_R20FDN_R0_under,NA, CeilR100, MG-i89-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,84,ACH_3_5, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA, CeilR50, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,85, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R0_under,NA, CeilR100,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,86, ACH_1_5,Stud_2x6_R16, STEP_R16FDN_R0_under,NA, CeilR70, MG-HP-Double, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,87,ACH_3_5, Stud_2x6_XPS_R-22, STEP_R16FDN_R11_under,NA, CeilR50, LG-avg-Triple, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,88, ACH_0_6, Stud_2x6_R18, STEP_R20FDN_R11_under,NA,CeilR40,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,89, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R0_under,NA,CeilR40,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,90, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R15_under,NA,CeilR40, HG-i89-Triple-B, ElectricStorage, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,91, ACH_0_6, Stud_2x6_R18, STEP_BaseFDN_R11_under,NA, CeilR50, MG-HP-Double, HPHotWater,none, CCASHP-ecm,NA, MonoSi-10kW
Rerun,92, ACH_2_5, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R20_under,NA, CeilR100,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,93,ACH_3_5, Stud_2x6_XPS_R-30,STEP_BaseFDN_R0_under,NA, CeilR50, LG-avg-Triple, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,94,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R0_under,NA, CeilR60,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,95,ACH_3_5, Stud_2x6_R18, STEP_R20FDN_R11_under,NA,CeilR40, HG-avg-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA, MonoSi-10kW
Rerun,96,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R0_under,NA, CeilR50, MG-i89-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm,NA, MonoSi-10kW
Rerun,97, ACH_1_0, Stud_2x6_EPS_R-40, STEP_R20FDN_R15_under,NA, CeilR80, MG-i89-Double, ElectricStorage,none, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,98, ACH_0_6, Stud_2x6_R18, STEP_BaseFDN_R15_under,NA, CeilR60,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,99, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R16FDN_R11_under,NA,CeilR40, MG-i89-Double, ElectricStorage,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,100, ACH_1_5, Stud_2x6_EPS_R-40, STEP_R20FDN_R0_under,NA,CeilR40, MG-i89-Double, ElectricStorage, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,101, ACH_0_6, Stud_2x6_EPS_R-40, STEP_BaseFDN_R20_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_75, MonoSi-8kW
Rerun,102, ACH_2_5, Stud_2x6_XPS_R-22, STEP_R16FDN_R11_under,NA, CeilR70,LG-avg-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,103, ACH_2_5,Stud_2x6_R16, STEP_R16FDN_R11_under,NA, CeilR50, MG-i89-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,104, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R16FDN_R0_under,NA, CeilR50, HG-i89-Triple-B, ElectricStorage,none, CCASHP-ecm,NA, MonoSi-10kW
Rerun,105, ACH_0_6,Stud_2x6_R16, STEP_BaseFDN_R20_under,NA, CeilR60,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_70, MonoSi-10kW
Rerun,106, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R25FDN_R0_under,NA, CeilR100, MG-i89-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_84, MonoSi-8kW
Rerun,107, ACH_1_5,Stud_2x6_R16, STEP_R16FDN_R20_under,NA, CeilR60,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,108, ACH_1_0, Stud_2x6_XPS_R-22, STEP_R25FDN_R20_under,NA,CeilR40, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_84, MonoSi-8kW
Rerun,109, ACH_2_5, Stud_2x6_R18, STEP_R20FDN_R15_under,NA, CeilR70,LG-avg-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,110, ACH_2_5, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA,CeilR40, HG-avg-Triple, ElectricStorage, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,111, ACH_1_5,Stud_2x6_R16, STEP_R25FDN_R20_under,NA, CeilR60,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,112, ACH_0_6, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA, CeilR50, HG-avg-Triple, ElectricStorage, DWHR-eff-55, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,113,ACH_3_5, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA, CeilR60, HG-avg-Triple, HPHotWater,none, CCASHP-ecm,NA, MonoSi-10kW
Rerun,114, ACH_0_6, Stud_2x6_EPS_R-40, STEP_R16FDN_R15_under,NA, CeilR80, MG-i89-Double, HPHotWater,  DWHR-eff-42, CCASHP-ecm, HRV_75, MonoSi-8kW
Rerun,115, ACH_1_5,Stud_2x6_R16, STEP_R16FDN_R0_under,NA, CeilR80,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,116,ACH_3_5, Stud_2x6_R18, STEP_BaseFDN_R15_under,NA, CeilR70, MG-i89-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,117, ACH_1_5, Stud_2x6_EPS_R-40,STEP_BaseFDN_R0_under,NA, CeilR100, HG-i89-Triple-B, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-8kW
Rerun,118, ACH_2_5,Stud_2x6_R16, STEP_R20FDN_R0_under,NA, CeilR50, MG-i89-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,119, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R11_under,NA,CeilR40,LG-avg-Double, HPHotWater,none, CCASHP-ecm,NA, MonoSi-10kW
Rerun,120, ACH_2_5, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R11_under,NA, CeilR100, HG-i89-Triple-B, ElectricStorage,none, CCASHP-ecm, HRV_75, MonoSi-10kW
Rerun,121, ACH_2_5, Stud_2x6_EPS_R-40, STEP_R20FDN_R11_under,NA,CeilR40, HG-HP-Triple, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_75, MonoSi-8kW
Rerun,122, ACH_0_6, Stud_2x6_R18, STEP_R20FDN_R11_under,NA, CeilR50, HG-i89-Triple-B, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_84, MonoSi-8kW
Rerun,123, ACH_2_5, Stud_2x6_XPS_R-22, STEP_BaseFDN_R11_under,NA,CeilR40,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,124, ACH_2_5, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R11_under,NA, CeilR50,LG-avg-Double, HPHotWater, DWHR-eff-55, CCASHP-ecm,NA, MonoSi-10kW
Rerun,125, ACH_1_5, Stud_2x6_XPS_R-22, STEP_R16FDN_R20_under,NA, CeilR50, MG-HP-Double, ElectricStorage,  DWHR-eff-42, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,126, ACH_2_5, Stud_2x6_EPS_R-40, STEP_BaseFDN_R20_under,NA, CeilR50, HG-avg-Triple, HPHotWater, DWHR-eff-55, CCASHP-ecm, HRV_84, MonoSi-8kW
Rerun,127, ACH_0_6,Stud_2x6_R16, STEP_R25FDN_R15_under,NA, CeilR100, MG-i89-Double, ElectricStorage,  DWHR-eff-42, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,128,ACH_3_5, Stud_2x6_XPS_R-30, STEP_BaseFDN_R15_under,NA, CeilR50,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,129, ACH_2_5,Stud_2x6_R16, STEP_R25FDN_R20_under,NA, CeilR50,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_84, MonoSi-10kW
Rerun,130,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_BaseFDN_R15_under,NA, CeilR80,LG-avg-Double, HPHotWater,none, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,131, ACH_1_5, Stud_2x6_R18,STEP_BaseFDN_R0_under,NA,CeilR40,LG-avg-Double, HPHotWater, DWHR-eff-30, CCASHP-ecm, HRV_60, MonoSi-10kW
Rerun,132,ACH_3_5, Stud_2x4_2in_XPS_R-24, STEP_R20FDN_R11_under,NA, CeilR100,LG-avg-Double, HPHotWater,none, CCASHP-ecm,NA, MonoSi-10kW
Rerun,133, ACH_0_6, Stud_2x4_2in_XPS_R-24, STEP_R25FDN_R20_under,NA,CeilR40,LG-avg-Double, ElectricStorage, DWHR-eff-30, CCASHP-ecm, HRV_84, MonoSi-10kW
